method,subgraph_nodes,subgraph_edges,sampling_size,trial,trial_seed,centrality_total_runtime_sec,centrality_compute_runtime_sec,centrality_validation_runtime_sec,centrality_brandes_k,centrality_top_k,baseline_aspl,brute_total_runtime_sec,brute_num_edges_tested,brute_avg_runtime_per_edge_sec,brute_min_runtime_per_edge_sec,brute_max_runtime_per_edge_sec,brute_max_delta_aspl,brute_max_delta_edge
bruteforce_all_edges,100,3857,30,1,647892279,,,,,,1.2296296296296296,1.7975612080008432,3857.0,0.00046502288978574687,0.00038041700099711306,0.0006111250004323665,0.0006734006734006037,"['2356', '1929']"
centrality,100,3857,50,1,647892279,0.08799733300111257,0.050626499996724306,0.036121207998803584,100.0,50.0,1.2315151515151515,,,,,,,
bruteforce_all_edges,100,3857,50,1,647892279,,,,,,1.2315151515151515,3.154653707999387,3857.0,0.0008167217238450483,0.0006434999995690305,0.017919207999511855,0.00040404040404040664,"['2356', '2543']"
centrality,100,3857,100,1,647892279,0.12435016699964763,0.05030037500182516,0.07189870799993514,100.0,50.0,1.2208080808080808,,,,,,,
bruteforce_all_edges,100,3857,100,1,647892279,,,,,,1.2208080808080808,6.13434425000014,3857.0,0.0015891204778331423,0.001283375000639353,0.001976042000023881,0.00020202020202031434,"['2526', '1912']"
centrality,200,13777,10,0,1695753998,0.37527816700094263,0.3378978329965321,0.034636750002391636,200.0,50.0,1.3889447236180905,,,,,,,
bruteforce_all_edges,200,13777,10,0,1695753998,,,,,,1.3889447236180905,8.326313000001392,13777.0,0.0006033334845076187,0.000324332999298349,0.0010339999971620273,0.0010050251256281673,"['1993', '2043']"
centrality,200,13777,30,0,1695753998,0.4946285830010311,0.3395403329996043,0.15006216700203368,200.0,50.0,1.3408710217755444,,,,,,,
bruteforce_all_edges,200,13777,30,0,1695753998,,,,,,1.3408710217755444,30.96759754100276,13777.0,0.002246579085437985,0.0010017910026363097,0.018381249999947613,0.0003350083752093891,"['1993', '1962']"
centrality,200,13777,50,0,1695753998,0.5726709999980812,0.33697433400084265,0.22908579199793166,200.0,50.0,1.3148743718592966,,,,,,,
bruteforce_all_edges,200,13777,50,0,1695753998,,,,,,1.3148743718592966,49.532223041998805,13777.0,0.003593914565297151,0.0019498330002534203,0.019808249999186955,0.00020100502512554463,"['2526', '1962']"
centrality,200,13777,100,0,1695753998,0.8557303340021463,0.33719491599913454,0.5064609159999236,200.0,50.0,1.2878894472361808,,,,,,,
bruteforce_all_edges,200,13777,100,0,1695753998,,,,,,1.2878894472361808,104.59716854100043,13777.0,0.0075903929398181205,0.0038090410016593523,0.013171083999623079,0.000150753768844325,"['1912', '2062']"
centrality,200,3541,10,1,207388624,0.14334479199897032,0.10894295899925055,0.033348416996886954,200.0,50.0,1.8557788944723619,,,,,,,
bruteforce_all_edges,200,3541,10,1,207388624,,,,,,1.8557788944723619,1.7344022079996648,3541.0,0.0004887508133252261,0.0004116669988434296,0.0007872500027588103,0.021105527638190846,"['561', '483']"
centrality,200,3541,30,1,207388624,0.2190567080033361,0.11016824999751407,0.10656908300006762,200.0,50.0,1.9698492462311559,,,,,,,
bruteforce_all_edges,200,3541,30,1,207388624,,,,,,1.9698492462311559,5.65347649999967,3541.0,0.0015951537683760947,0.0013623330014524981,0.0023913749973871745,0.021105527638190846,"['483', '671']"
centrality,200,3541,50,1,207388624,0.30081924999831244,0.11064987500139978,0.18678291700052796,200.0,50.0,1.9437185929648242,,,,,,,
bruteforce_all_edges,200,3541,50,1,207388624,,,,,,1.9437185929648242,9.032000333001633,3541.0,0.002548919873490363,0.002250083998660557,0.004014707999886014,0.010351758793969879,"['535', '483']"
centrality,200,3541,100,1,207388624,0.4844316249982512,0.11052991700125858,0.36769612499847426,200.0,50.0,1.9162311557788945,,,,,,,
bruteforce_all_edges,200,3541,100,1,207388624,,,,,,1.9162311557788945,18.24050850000276,3541.0,0.005148561370801714,0.004427500000019791,0.06453991699891048,0.008291457286432102,"['483', '671']"
centrality,400,4280,10,0,311111475,0.3042437500007509,0.22750974999871687,0.07569287499791244,400.0,50.0,1.9358395989974937,,,,,,,
bruteforce_all_edges,400,4280,10,0,311111475,,,,,,1.9358395989974937,2.2162522090002312,4280.0,0.0005166743530459494,0.00041908300045179203,0.0018500420010241214,0.09774436090225547,"['1356', '107']"
centrality,400,4280,30,0,311111475,0.4555531250007334,0.2327231670024048,0.2207699999999022,400.0,50.0,1.952548036758563,,,,,,,
bruteforce_all_edges,400,4280,30,0,311111475,,,,,,1.952548036758563,6.011238292001508,4280.0,0.0014031902542466633,0.0012627920004888438,0.005387417000747519,0.03567251461988308,"['1403', '107']"
